engine,run_number,seed,patch_index,slum_occupants
netlogo,3,20260714,42,2
netlogo,3,20260714,43,2
netlogo,3,20260714,44,2
netlogo,3,20260714,45,2
netlogo,3,20260714,46,2
netlogo,3,20260714,47,2
netlogo,3,20260714,48,2
netlogo,3,20260714,49,2
netlogo,3,20260714,50,2
netlogo,3,20260714,51,2
netlogo,3,20260714,52,2
netlogo,3,20260714,53,2
netlogo,3,20260714,54,2
netlogo,3,20260714,55,2
netlogo,3,20260714,56,2
netlogo,3,20260714,57,2
netlogo,3,20260714,58,2
netlogo,3,20260714,59,2
netlogo,3,20260714,60,2
netlogo,3,20260714,61,2
netlogo,3,20260714,62,2
netlogo,3,20260714,63,2
netlogo,3,20260714,64,2
netlogo,3,20260714,65,2
netlogo,3,20260714,66,2
netlogo,3,20260714,67,2
netlogo,3,20260714,68,2
netlogo,3,20260714,69,2
netlogo,3,20260714,70,2
netlogo,3,20260714,71,2
netlogo,3,20260714,72,2
netlogo,3,20260714,73,2
netlogo,3,20260714,74,2
netlogo,3,20260714,75,2
netlogo,3,20260714,76,2
netlogo,3,20260714,77,2
netlogo,3,20260714,78,2
netlogo,3,20260714,79,2
netlogo,3,20260714,80,2
netlogo,3,20260714,81,2
netlogo,3,20260714,82,2
netlogo,3,20260714,83,2
netlogo,3,20260714,84,2
netlogo,3,20260714,85,2
netlogo,3,20260714,86,2
netlogo,3,20260714,87,2
netlogo,3,20260714,88,2
netlogo,3,20260714,89,2
netlogo,3,20260714,90,2
netlogo,3,20260714,91,2
netlogo,3,20260714,92,2
netlogo,3,20260714,93,2
netlogo,3,20260714,94,2
netlogo,3,20260714,95,2
netlogo,3,20260714,96,2
netlogo,3,20260714,97,2
netlogo,3,20260714,98,2
netlogo,3,20260714,99,2
netlogo,3,20260714,100,2
netlogo,3,20260714,101,2
netlogo,3,20260714,102,2
netlogo,3,20260714,103,2
netlogo,3,20260714,104,2
netlogo,3,20260714,105,2
netlogo,3,20260714,106,2
netlogo,3,20260714,107,2
netlogo,3,20260714,108,3
netlogo,3,20260714,109,3
netlogo,3,20260714,110,3
netlogo,3,20260714,111,3
netlogo,3,20260714,112,3
netlogo,3,20260714,113,3
netlogo,3,20260714,114,3
netlogo,3,20260714,115,3
netlogo,3,20260714,116,3
netlogo,3,20260714,117,3
netlogo,3,20260714,118,3
netlogo,3,20260714,119,3
netlogo,3,20260714,120,3
netlogo,3,20260714,121,3
netlogo,3,20260714,122,3
netlogo,3,20260714,123,3
netlogo,3,20260714,124,3
netlogo,3,20260714,125,4
netlogo,3,20260714,126,4
netlogo,3,20260714,127,4
netlogo,3,20260714,128,5
netlogo,3,20260714,129,5
netlogo,3,20260714,130,6
netlogo,4,20260715,1,2
netlogo,4,20260715,2,2
netlogo,4,20260715,3,2
netlogo,4,20260715,4,2
netlogo,4,20260715,5,2
netlogo,4,20260715,6,2
netlogo,4,20260715,7,2
netlogo,4,20260715,8,2
netlogo,4,20260715,9,2
netlogo,4,20260715,10,2
netlogo,4,20260715,11,2
netlogo,4,20260715,12,2
netlogo,4,20260715,13,2
netlogo,4,20260715,14,2
netlogo,4,20260715,15,2
netlogo,4,20260715,16,2
netlogo,4,20260715,17,2
netlogo,4,20260715,18,2
netlogo,4,20260715,19,2
netlogo,4,20260715,20,2
netlogo,4,20260715,21,2
netlogo,4,20260715,22,2
netlogo,4,20260715,23,2
netlogo,4,20260715,24,2
netlogo,4,20260715,25,2
netlogo,4,20260715,26,2
netlogo,4,20260715,27,2
netlogo,4,20260715,28,2
netlogo,4,20260715,29,2
netlogo,4,20260715,30,2
netlogo,4,20260715,31,2
netlogo,4,20260715,32,2
netlogo,4,20260715,33,2
netlogo,4,20260715,34,2
netlogo,4,20260715,35,2
netlogo,4,20260715,36,2
netlogo,4,20260715,37,2
netlogo,4,20260715,38,2
netlogo,4,20260715,39,2
netlogo,4,20260715,40,2
netlogo,4,20260715,41,2
netlogo,4,20260715,42,2
netlogo,4,20260715,43,2
netlogo,4,20260715,44,2
netlogo,4,20260715,45,2
netlogo,4,20260715,46,2
netlogo,4,20260715,47,2
netlogo,4,20260715,48,2
netlogo,4,20260715,49,2
netlogo,4,20260715,50,2
netlogo,4,20260715,51,2
netlogo,4,20260715,52,2
netlogo,4,20260715,53,2
netlogo,4,20260715,54,2
netlogo,4,20260715,55,2
netlogo,4,20260715,56,2
netlogo,4,20260715,57,2
netlogo,4,20260715,58,2
netlogo,4,20260715,59,2
netlogo,4,20260715,60,2
netlogo,4,20260715,61,2
netlogo,4,20260715,62,2
netlogo,4,20260715,63,2
netlogo,4,20260715,64,2
netlogo,4,20260715,65,2
netlogo,4,20260715,66,2
netlogo,4,20260715,67,2
netlogo,4,20260715,68,2
netlogo,4,20260715,69,2
netlogo,4,20260715,70,2
netlogo,4,20260715,71,2
netlogo,4,20260715,72,2
netlogo,4,20260715,73,2
netlogo,4,20260715,74,2
netlogo,4,20260715,75,2
netlogo,4,20260715,76,2
netlogo,4,20260715,77,2
netlogo,4,20260715,78,2
netlogo,4,20260715,79,2
netlogo,4,20260715,80,2
netlogo,4,20260715,81,2
netlogo,4,20260715,82,2
netlogo,4,20260715,83,2
netlogo,4,20260715,84,2
netlogo,4,20260715,85,2
netlogo,4,20260715,86,2
netlogo,4,20260715,87,2
netlogo,4,20260715,88,2
netlogo,4,20260715,89,2
netlogo,4,20260715,90,2
netlogo,4,20260715,91,2
netlogo,4,20260715,92,2
netlogo,4,20260715,93,2
netlogo,4,20260715,94,2
netlogo,4,20260715,95,2
netlogo,4,20260715,96,2
netlogo,4,20260715,97,2
netlogo,4,20260715,98,2
netlogo,4,20260715,99,2
netlogo,4,20260715,100,2
netlogo,4,20260715,101,2
netlogo,4,20260715,102,2
netlogo,4,20260715,103,2
netlogo,4,20260715,104,2
netlogo,4,20260715,105,2
netlogo,4,20260715,106,2
netlogo,4,20260715,107,2
netlogo,4,20260715,108,2
netlogo,4,20260715,109,2
netlogo,4,20260715,110,2
netlogo,4,20260715,111,2
netlogo,4,20260715,112,3
netlogo,4,20260715,113,3
netlogo,4,20260715,114,3
netlogo,4,20260715,115,3
netlogo,4,20260715,116,3
netlogo,4,20260715,117,3
netlogo,4,20260715,118,3
netlogo,4,20260715,119,3
netlogo,4,20260715,120,3
netlogo,4,20260715,121,3
netlogo,4,20260715,122,3
netlogo,4,20260715,123,3
netlogo,4,20260715,124,3
netlogo,4,20260715,125,3
netlogo,4,20260715,126,3
netlogo,4,20260715,127,3
netlogo,4,20260715,128,3
netlogo,4,20260715,129,3
netlogo,4,20260715,130,3
netlogo,4,20260715,131,3
netlogo,4,20260715,132,4
netlogo,4,20260715,133,4
netlogo,4,20260715,134,4
netlogo,4,20260715,135,4
netlogo,4,20260715,136,4
netlogo,4,20260715,137,4
netlogo,4,20260715,138,4
netlogo,4,20260715,139,4
netlogo,4,20260715,140,4
netlogo,4,20260715,141,5
netlogo,4,20260715,142,5
netlogo,4,20260715,143,5
netlogo,4,20260715,144,6
netlogo,4,20260715,145,8
netlogo,5,20260716,1,2
netlogo,5,20260716,2,2
netlogo,5,20260716,3,2
netlogo,5,20260716,4,2
netlogo,5,20260716,5,2
netlogo,5,20260716,6,2
netlogo,5,20260716,7,2
netlogo,5,20260716,8,2
netlogo,5,20260716,9,2
netlogo,5,20260716,10,2
netlogo,5,20260716,11,2
netlogo,5,20260716,12,2
netlogo,5,20260716,13,2
netlogo,5,20260716,14,2
netlogo,5,20260716,15,2
netlogo,5,20260716,16,2
netlogo,5,20260716,17,2
netlogo,5,20260716,18,2
netlogo,5,20260716,19,2
netlogo,5,20260716,20,2
netlogo,5,20260716,21,2
netlogo,5,20260716,22,2
netlogo,5,20260716,23,2
netlogo,5,20260716,24,2
netlogo,5,20260716,25,2
netlogo,5,20260716,26,2
netlogo,5,20260716,27,2
netlogo,5,20260716,28,2
netlogo,5,20260716,29,2
netlogo,5,20260716,30,2
netlogo,5,20260716,31,2
netlogo,5,20260716,32,2
netlogo,5,20260716,33,2
netlogo,5,20260716,34,2
netlogo,5,20260716,35,2
netlogo,5,20260716,36,2
netlogo,5,20260716,37,2
netlogo,5,20260716,38,2
netlogo,5,20260716,39,2
netlogo,5,20260716,40,2
netlogo,5,20260716,41,2
netlogo,5,20260716,42,2
netlogo,5,20260716,43,2
netlogo,5,20260716,44,2
netlogo,5,20260716,45,2
netlogo,5,20260716,46,2
netlogo,5,20260716,47,2
netlogo,5,20260716,48,2
netlogo,5,20260716,49,2
netlogo,5,20260716,50,2
netlogo,5,20260716,51,2
netlogo,5,20260716,52,2
netlogo,5,20260716,53,2
netlogo,5,20260716,54,2
netlogo,5,20260716,55,2
netlogo,5,20260716,56,2
netlogo,5,20260716,57,2
netlogo,5,20260716,58,2
netlogo,5,20260716,59,2
netlogo,5,20260716,60,2
netlogo,5,20260716,61,2
netlogo,5,20260716,62,2
netlogo,5,20260716,63,2
netlogo,5,20260716,64,2
netlogo,5,20260716,65,2
netlogo,5,20260716,66,2
netlogo,5,20260716,67,2
netlogo,5,20260716,68,2
netlogo,5,20260716,69,2
netlogo,5,20260716,70,2
netlogo,5,20260716,71,2
netlogo,5,20260716,72,2
netlogo,5,20260716,73,2
netlogo,5,20260716,74,2
netlogo,5,20260716,75,2
netlogo,5,20260716,76,2
netlogo,5,20260716,77,2
netlogo,5,20260716,78,2
netlogo,5,20260716,79,2
netlogo,5,20260716,80,2
netlogo,5,20260716,81,2
netlogo,5,20260716,82,2
netlogo,5,20260716,83,2
netlogo,5,20260716,84,2
netlogo,5,20260716,85,2
netlogo,5,20260716,86,2
netlogo,5,20260716,87,2
netlogo,5,20260716,88,2
netlogo,5,20260716,89,2
netlogo,5,20260716,90,2
netlogo,5,20260716,91,2
netlogo,5,20260716,92,2
netlogo,5,20260716,93,2
netlogo,5,20260716,94,2
netlogo,5,20260716,95,2
netlogo,5,20260716,96,3
netlogo,5,20260716,97,3
netlogo,5,20260716,98,3
netlogo,5,20260716,99,3
netlogo,5,20260716,100,3
netlogo,5,20260716,101,3
netlogo,5,20260716,102,3
netlogo,5,20260716,103,3
netlogo,5,20260716,104,3
netlogo,5,20260716,105,3
netlogo,5,20260716,106,3
netlogo,5,20260716,107,3
netlogo,5,20260716,108,3
netlogo,5,20260716,109,3
netlogo,5,20260716,110,3
netlogo,5,20260716,111,3
netlogo,5,20260716,112,3
netlogo,5,20260716,113,4
netlogo,5,20260716,114,4
netlogo,5,20260716,115,4
netlogo,5,20260716,116,4
netlogo,5,20260716,117,4
netlogo,5,20260716,118,4
netlogo,5,20260716,119,4
netlogo,5,20260716,120,5
netlogo,5,20260716,121,5
netlogo,5,20260716,122,6
netlogo,5,20260716,123,7
netlogo,5,20260716,124,7
netlogo,6,20260717,1,2
netlogo,6,20260717,2,2
netlogo,6,20260717,3,2
netlogo,6,20260717,4,2
netlogo,6,20260717,5,2
netlogo,6,20260717,6,2
netlogo,6,20260717,7,2
netlogo,6,20260717,8,2
netlogo,6,20260717,9,2
netlogo,6,20260717,10,2
netlogo,6,20260717,11,2
netlogo,6,20260717,12,2
netlogo,6,20260717,13,2
netlogo,6,20260717,14,2
netlogo,6,20260717,15,2
netlogo,6,20260717,16,2
netlogo,6,20260717,17,2
netlogo,6,20260717,18,2
netlogo,6,20260717,19,2
netlogo,6,20260717,20,2
netlogo,6,20260717,21,2
netlogo,6,20260717,22,2
netlogo,6,20260717,23,2
netlogo,6,20260717,24,2
netlogo,6,20260717,25,2
netlogo,6,20260717,26,2
netlogo,6,20260717,27,2
netlogo,6,20260717,28,2
netlogo,6,20260717,29,2
netlogo,6,20260717,30,2
netlogo,6,20260717,31,2
netlogo,6,20260717,32,2
netlogo,6,20260717,33,2
netlogo,6,20260717,34,2
netlogo,6,20260717,35,2
netlogo,6,20260717,36,2
netlogo,6,20260717,37,2
netlogo,6,20260717,38,2
netlogo,6,20260717,39,2
netlogo,6,20260717,40,2
netlogo,6,20260717,41,2
netlogo,6,20260717,42,2
netlogo,6,20260717,43,2
netlogo,6,20260717,44,2
netlogo,6,20260717,45,2
netlogo,6,20260717,46,2
netlogo,6,20260717,47,2
netlogo,6,20260717,48,2
netlogo,6,20260717,49,2
netlogo,6,20260717,50,2
netlogo,6,20260717,51,2
netlogo,6,20260717,52,2
netlogo,6,20260717,53,2
netlogo,6,20260717,54,2
netlogo,6,20260717,55,2
netlogo,6,20260717,56,2
netlogo,6,20260717,57,2
netlogo,6,20260717,58,2
netlogo,6,20260717,59,2
netlogo,6,20260717,60,2
netlogo,6,20260717,61,2
netlogo,6,20260717,62,2
netlogo,6,20260717,63,2
netlogo,6,20260717,64,2
netlogo,6,20260717,65,2
netlogo,6,20260717,66,2
netlogo,6,20260717,67,2
netlogo,6,20260717,68,2
netlogo,6,20260717,69,2
netlogo,6,20260717,70,2
netlogo,6,20260717,71,2
netlogo,6,20260717,72,2
netlogo,6,20260717,73,2
netlogo,6,20260717,74,2
netlogo,6,20260717,75,2
netlogo,6,20260717,76,2
netlogo,6,20260717,77,2
netlogo,6,20260717,78,2
netlogo,6,20260717,79,2
netlogo,6,20260717,80,2
netlogo,6,20260717,81,2
netlogo,6,20260717,82,2
netlogo,6,20260717,83,2
netlogo,6,20260717,84,2
netlogo,6,20260717,85,2
netlogo,6,20260717,86,2
netlogo,6,20260717,87,2
netlogo,6,20260717,88,2
netlogo,6,20260717,89,2
netlogo,6,20260717,90,2
netlogo,6,20260717,91,2
netlogo,6,20260717,92,2
netlogo,6,20260717,93,2
netlogo,6,20260717,94,2
netlogo,6,20260717,95,2
netlogo,6,20260717,96,2
netlogo,6,20260717,97,2
netlogo,6,20260717,98,2
netlogo,6,20260717,99,2
netlogo,6,20260717,100,2
netlogo,6,20260717,101,2
netlogo,6,20260717,102,2
netlogo,6,20260717,103,2
netlogo,6,20260717,104,2
netlogo,6,20260717,105,2
netlogo,6,20260717,106,2
netlogo,6,20260717,107,2
netlogo,6,20260717,108,2
netlogo,6,20260717,109,2
netlogo,6,20260717,110,2
netlogo,6,20260717,111,2
netlogo,6,20260717,112,2
netlogo,6,20260717,113,2
netlogo,6,20260717,114,2
netlogo,6,20260717,115,2
netlogo,6,20260717,116,2
netlogo,6,20260717,117,2
netlogo,6,20260717,118,2
netlogo,6,20260717,119,2
