bundle_id,seed,promotive_level,risk_level,schools_promotive,schools_risk,neighborhood_promotive,neighborhood_risk,antisocial_experience_score,prosocial_experience_score,percent_antisocial,family_risk_mean,family_promotive_mean,school_risk_mean,school_promotive_mean,neighborhood_risk_mean,neighborhood_promotive_mean
439,4,50,75,50,25,75,25,112.756666666663,169.365333333339,0.56,0.397899211791,0.331372160431,0.239332776831,0.361866062519,0.242591124697,0.398996905041
439,5,50,75,50,25,75,25,110.185999999996,168.510666666674,0.586666666667,0.399929302781,0.335143969909,0.276315143272,0.345825129189,0.229461051618,0.408566896865
439,6,50,75,50,25,75,25,114.068666666663,162.651333333338,0.58,0.409661019953,0.351340928052,0.253556123733,0.354622904698,0.233700387373,0.391744409168
439,7,50,75,50,25,75,25,100.49533333333,175.024000000006,0.533333333333,0.372623180959,0.356753086174,0.219065084836,0.328542063938,0.241060446696,0.390058802835
439,8,50,75,50,25,75,25,107.498666666663,168.360666666672,0.553333333333,0.407113655459,0.353447007232,0.243218013811,0.381548585453,0.235357408963,0.384444125394
439,9,50,75,50,25,75,25,99.206666666663,174.950000000006,0.533333333333,0.34590968296,0.310251704859,0.220265634124,0.328384668518,0.245449420168,0.399415015824
439,10,50,75,50,25,75,25,106.338666666663,165.072000000005,0.573333333333,0.428990072183,0.34143874177,0.226116954953,0.335601552859,0.236783750597,0.398891950426
440,1,50,75,50,25,75,50,159.403333333334,181.468666666672,0.526666666667,0.385498903459,0.357543560808,0.241837517104,0.315323017382,0.366367210968,0.389961136479
440,2,50,75,50,25,75,50,161.918666666666,173.64333333334,0.566666666667,0.406719933264,0.326652211457,0.23750806475,0.368912027024,0.354373257652,0.404465427105
440,3,50,75,50,25,75,50,131.066666666663,181.866000000006,0.506666666667,0.352095523109,0.320831716799,0.243895795859,0.362712143934,0.331147402566,0.404747861345
440,4,50,75,50,25,75,50,170.234666666666,160.960000000005,0.586666666667,0.408967968998,0.32468431516,0.239332776831,0.361866062519,0.358765480385,0.39252283454
440,5,50,75,50,25,75,50,157.409333333331,166.432000000007,0.593333333333,0.399181881092,0.340396580598,0.276315143272,0.345825129189,0.334742060308,0.409119182458
440,6,50,75,50,25,75,50,172.427333333333,154.915333333338,0.606666666667,0.410758607953,0.348764603647,0.253556123733,0.354622904698,0.342618365041,0.393411991098
440,7,50,75,50,25,75,50,138.812666666665,192.020000000006,0.493333333333,0.372913429878,0.385134149689,0.219065084836,0.328542063938,0.344347332331,0.383457190584
440,8,50,75,50,25,75,50,153.873999999999,172.158000000005,0.546666666667,0.405472058806,0.354582477809,0.243218013811,0.381548585453,0.343502544597,0.380339093138
440,9,50,75,50,25,75,50,143.247333333332,177.275333333338,0.513333333333,0.359962667415,0.315496889651,0.220265634124,0.328384668518,0.352533052808,0.394264061743
440,10,50,75,50,25,75,50,161.740666666666,168.207333333339,0.566666666667,0.399002050272,0.336318946458,0.226116954953,0.335601552859,0.365890900005,0.40217052412
441,1,50,75,50,25,75,75,175.106000000004,175.852666666672,0.54,0.37999000285,0.35582374839,0.241837517104,0.315323017382,0.406325420642,0.392572617984
441,2,50,75,50,25,75,75,168.572000000003,183.118666666673,0.52,0.396214122895,0.329676584226,0.23750806475,0.368912027024,0.402330719554,0.407450715506
441,3,50,75,50,25,75,75,177.536000000002,167.053333333339,0.58,0.394974676111,0.34610219315,0.243895795859,0.362712143934,0.383978776675,0.399775829971
441,4,50,75,50,25,75,75,196.40866666667,153.394000000005,0.606666666667,0.426750071606,0.307517109367,0.239332776831,0.361866062519,0.40101657984,0.393908461535
441,5,50,75,50,25,75,75,198.558000000004,159.998666666673,0.606666666667,0.415356247474,0.331788798118,0.276315143272,0.345825129189,0.395240655064,0.406556021113
441,6,50,75,50,25,75,75,192.934000000003,156.141333333338,0.606666666667,0.415649452054,0.355036048111,0.253556123733,0.354622904698,0.390255496489,0.396115241741
441,7,50,75,50,25,75,75,162.207333333335,182.228666666672,0.52,0.410913234086,0.380517439371,0.219065084836,0.328542063938,0.385762896825,0.386776304887
441,8,50,75,50,25,75,75,177.055333333337,175.661333333339,0.546666666667,0.411787529088,0.364454439911,0.243218013811,0.381548585453,0.403567654595,0.39032034768
441,9,50,75,50,25,75,75,163.224000000002,172.268666666671,0.526666666667,0.354172542699,0.313803778518,0.220265634124,0.328384668518,0.405497275621,0.388876744129
441,10,50,75,50,25,75,75,180.61066666667,176.442000000006,0.553333333333,0.40173690441,0.36679325813,0.226116954953,0.335601552859,0.410932382856,0.398533750306
442,1,50,75,50,50,25,25,155.700666666665,107.363999999996,0.56,0.395319326965,0.348523616585,0.363313457775,0.318321638686,0.24709598129,0.23422391814
442,2,50,75,50,50,25,25,147.138666666663,114.914666666663,0.58,0.432840979344,0.365153538149,0.317659485301,0.381220030222,0.244043482621,0.242342882511
442,3,50,75,50,50,25,25,129.108666666664,123.579333333329,0.493333333333,0.399465307699,0.344881511601,0.353782123573,0.363446825339,0.235415105507,0.244562521408
442,4,50,75,50,50,25,25,133.447333333331,119.901333333329,0.506666666667,0.365493297601,0.359359241175,0.323791395555,0.361564335082,0.242807955638,0.231636001402
442,5,50,75,50,50,25,25,143.16933333333,110.14333333333,0.553333333333,0.404417656421,0.361054448568,0.383876565944,0.332593349208,0.22937702952,0.238247108459
442,6,50,75,50,50,25,25,131.14133333333,124.615333333329,0.5,0.414572305473,0.382765633611,0.364696352854,0.352350113355,0.235752924105,0.244452428973
442,7,50,75,50,50,25,25,134.15733333333,119.529999999996,0.526666666667,0.373669464374,0.353574606862,0.309289813942,0.348155133201,0.240517458913,0.2391438004
442,8,50,75,50,50,25,25,158.152666666663,102.722666666663,0.606666666667,0.411615333273,0.328356156308,0.336705108633,0.376051032273,0.237137514541,0.240483824667
442,9,50,75,50,50,25,25,145.940666666664,109.172666666663,0.566666666667,0.39081431569,0.322050529018,0.314776612575,0.319486292341,0.246113178217,0.243437840164
442,10,50,75,50,50,25,25,154.972666666664,98.531999999997,0.593333333333,0.421524235738,0.325942524882,0.349126027338,0.336608771166,0.239454488683,0.232206931804
443,1,50,75,50,50,25,50,218.130000000013,114.317999999996,0.54,0.391085985705,0.362270061323,0.363313457775,0.318321638686,0.366124325232,0.236586442692
443,2,50,75,50,50,25,50,211.327333333341,110.515999999996,0.593333333333,0.43447434793,0.350706793655,0.317659485301,0.381220030222,0.350660753921,0.239617384925
443,3,50,75,50,50,25,50,180.804666666673,124.207999999996,0.5,0.400533344436,0.352443755439,0.353782123573,0.363446825339,0.332017121877,0.24666184295
443,4,50,75,50,50,25,50,204.74400000001,113.454666666663,0.533333333333,0.377351103234,0.336581185606,0.323791395555,0.361564335082,0.355559550029,0.230190062916
443,5,50,75,50,50,25,50,211.384000000009,108.02133333333,0.573333333333,0.389798044662,0.342118139791,0.383876565944,0.332593349208,0.332665879121,0.241647873216
443,6,50,75,50,50,25,50,211.105333333343,114.798666666663,0.553333333333,0.420820157863,0.371710103075,0.364696352854,0.352350113355,0.34268993555,0.24393779842
443,7,50,75,50,50,25,50,193.642000000008,117.016666666663,0.533333333333,0.385205293522,0.356472479528,0.309289813942,0.348155133201,0.342503602018,0.235445496563
