experiment,parameter_condition,staying-power,percent-inappropriate-land,informalityindex,percent-prime-land,initialcitylimit,popgrowthrate,SimulationRuntime,Politics,Develop,price-sensitivity,diffusion-rate,economicgrowthrate,initialinequality,step,metric,netlogo_n,netlogo_finite_n,netlogo_nonfinite_n,netlogo_mean,netlogo_stdev,netlogo_min,netlogo_q25,netlogo_median,netlogo_q75,netlogo_max,mesa_n,mesa_finite_n,mesa_nonfinite_n,mesa_mean,mesa_stdev,mesa_min,mesa_q25,mesa_median,mesa_q75,mesa_max,mean_difference_mesa_minus_netlogo,absolute_mean_difference,relative_mean_difference
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,0,slumareapercent,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,0,slumpoppercent,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,1,central-num-slums,30,30,0,4.3,1.441981395451268,1.0,3.25,4.0,5.0,7.0,30,30,0,3.7333333333333334,1.3628907749221197,1.0,3.0,4.0,4.0,7.0,-0.5666666666666664,0.5666666666666664,-0.13178294573643407
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,1,central-slum-density,30,30,0,2.3722222222222222,0.32938271924063506,2.0,2.175,2.3333333333333335,2.5,3.5,30,30,0,2.6177777777777775,0.5611279918556314,2.0,2.2125000000000004,2.5,2.9375,4.0,0.2455555555555553,0.2455555555555553,0.10351288056206079
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,1,centralslumareapercent,30,30,0,1.4878892733564013,0.4989555001561481,0.34602076124567477,1.1245674740484428,1.384083044982699,1.7301038062283738,2.422145328719723,30,30,0,1.2918108419838525,0.4715885034332594,0.34602076124567477,1.0380622837370241,1.384083044982699,1.384083044982699,2.422145328719723,-0.19607843137254877,0.19607843137254877,-0.13178294573643395
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,1,centralslumpoppercent,30,30,0,3.4095597735832768,1.012820970101405,0.6896551724137931,2.8061224489795915,3.553023362345396,4.064360971140632,4.72972972972973,30,30,0,3.1853695813294203,0.915092640297936,0.6896551724137931,2.714170413928283,3.3783783783783785,3.728813559322034,4.72972972972973,-0.2241901922538565,0.2241901922538565,-0.06575341309187369
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,1,num-slums,30,30,0,4.333333333333333,1.397863723152492,1.0,3.25,4.0,5.0,7.0,30,30,0,3.7666666666666666,1.3308885632599343,1.0,3.0,4.0,4.0,7.0,-0.5666666666666664,0.5666666666666664,-0.13076923076923072
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,1,peripheral-num-slums,30,30,0,0.03333333333333333,0.18257418583505536,0.0,0.0,0.0,0.0,1.0,30,30,0,0.03333333333333333,0.18257418583505536,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,1,periphery-slum-density,30,30,0,0.06666666666666667,0.3651483716701107,0.0,0.0,0.0,0.0,2.0,30,30,0,0.06666666666666667,0.3651483716701107,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,1,peripheryslumareapercent,30,30,0,0.042194092827004225,0.23110656434817137,0.0,0.0,0.0,0.0,1.2658227848101267,30,30,0,0.043859649122807015,0.24022919188823075,0.0,0.0,0.0,0.0,1.3157894736842104,0.0016655562958027906,0.0016655562958027906,0.03947368421052613
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,1,peripheryslumpoppercent,30,30,0,0.08333333333333333,0.4564354645876384,0.0,0.0,0.0,0.0,2.5,30,30,0,0.08658008658008658,0.4742186645066373,0.0,0.0,0.0,0.0,2.5974025974025974,0.003246753246753248,0.003246753246753248,0.038961038961038974
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,1,slum-density,30,30,0,2.3722222222222222,0.32938271924063506,2.0,2.175,2.3333333333333335,2.5,3.5,30,30,0,2.601111111111111,0.5410882558682729,2.0,2.2125000000000004,2.5,2.9375,4.0,0.2288888888888887,0.2288888888888887,0.09648711943793903
